Id,Gender,MembershipCard,Age,Status,Income,VisitNo,Method,SpendPurchase,ProductRate,PriceRate,PromoRate,AmbianceRate,WifiRate,ServiceRate,ChooseRate
1,Female,Yes,1,0,0,3,0,1,4,3,5,5,4,4,3
2,Female,Yes,1,0,0,3,2,1,4,3,4,4,4,5,2
3,Male,Yes,1,2,0,2,0,1,4,3,4,4,4,4,3
4,Female,No,1,0,0,3,2,1,2,1,4,3,3,3,3
5,Male,No,1,0,0,2,2,2,3,3,4,2,2,3,3
6,Female,No,1,0,0,3,0,1,4,3,5,5,4,5,4
7,Female,Yes,1,0,0,3,0,2,5,5,5,5,3,5,5
8,Male,Yes,1,2,2,3,0,1,4,2,3,3,3,3,3
9,Female,Yes,1,0,0,3,1,3,5,4,4,4,4,4,4
10,Male,No,1,2,0,2,2,2,4,3,3,4,3,3,4
11,Female,No,1,0,0,3,0,1,4,1,4,5,3,3,4
12,Female,No,1,0,0,3,0,1,3,2,4,4,3,4,4
13,Female,Yes,1,0,0,1,2,2,4,3,2,4,4,3,4
14,Female,Yes,1,0,0,3,2,1,4,3,4,4,4,4,3
15,Female,Yes,1,0,0,3,2,1,5,2,5,5,5,5,2
16,Female,Yes,1,2,0,3,2,1,4,1,5,4,3,4,4
17,Male,Yes,2,2,2,2,1,2,4,3,3,4,3,3,3
18,Male,Yes,1,2,0,3,0,1,4,4,4,4,4,4,4
19,Male,Yes,1,2,1,1,2,2,4,3,4,5,5,5,5
20,Female,Yes,1,1,2,3,2,1,3,4,3,4,3,4,2
21,Male,Yes,2,2,3,3,2,2,2,2,5,3,3,4,3
22,Female,No,1,2,0,3,0,2,5,3,4,3,3,4,5
23,Male,No,1,2,1,3,0,1,5,2,5,5,2,4,3
24,Female,Yes,1,0,0,2,1,1,5,4,4,5,4,4,3
25,Male,No,3,1,3,3,0,2,4,3,4,4,3,3,5
26,Male,Yes,2,2,4,2,0,2,4,3,1,4,4,5,4
27,Male,No,2,2,4,3,1,1,4,2,4,4,4,4,2
28,Male,No,1,1,0,2,2,2,5,3,4,4,3,4,3
29,Male,Yes,3,1,4,1,1,3,4,5,3,3,3,4,5
30,Female,Yes,1,2,2,3,0,1,5,5,5,5,3,5,5
31,Female,Yes,1,2,1,2,2,2,3,1,4,4,3,4,4
32,Female,Yes,1,2,2,1,1,2,4,3,3,3,2,3,4
33,Female,No,2,2,1,3,2,2,2,3,5,5,3,5,5
34,Female,Yes,1,2,1,3,0,1,3,2,3,3,3,4,3
35,Female,No,1,2,1,3,2,1,3,4,4,3,4,4,3
36,Female,No,1,0,0,3,2,1,4,2,4,4,3,4,1
37,Female,No,1,1,0,3,2,1,3,3,4,4,5,5,2
38,Male,No,0,0,0,3,0,1,5,2,3,4,4,3,5
39,Male,Yes,1,2,0,3,2,2,4,4,4,4,4,4,4
40,Male,Yes,2,2,2,3,2,1,3,2,5,3,3,5,3
41,Male,Yes,1,2,0,2,0,2,5,4,5,5,3,5,5
42,Female,Yes,1,2,1,1,0,2,5,4,5,5,1,4,4
43,Female,No,1,2,0,2,2,2,4,4,5,4,4,5,5
44,Female,Yes,2,0,2,3,2,2,5,3,4,3,4,4,4
45,Female,No,1,1,0,3,2,0,3,1,5,4,3,3,2
46,Female,No,1,2,1,3,2,1,3,4,5,4,3,4,2
47,Male,Yes,0,0,0,3,1,1,3,3,3,3,3,3,3
48,Male,Yes,3,2,3,3,0,2,4,4,4,4,2,3,4
49,Female,No,0,0,0,3,0,1,3,3,2,2,2,4,3
50,Female,Yes,3,3,0,2,2,3,5,4,3,5,3,5,5
51,Female,No,0,0,0,3,1,2,3,3,2,3,3,3,3
